                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9226,                  4.565,                 1.4129,                      0,                      0,                      0,                      0,                 1.8748,                 4.2898,                 1.1495,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 2.2073,                 4.3784,                 1.2012,                      0,                      0,                      0,                      0,                 1.9891,                 4.2159,                 1.0801,             8.6634e-05,             8.6634e-05,             8.6634e-05
                      3,                  1.911,                 3.9778,                   1.05,                0.00042,                0.00439,                0.00022,                  9e-05,                 1.9728,                 4.1333,                 1.0669,             0.00013478,             0.00013478,             0.00013478
                      4,                 1.7586,                 3.2136,                 1.0064,                0.02269,                0.50512,                0.02298,                0.01173,                 1.4052,                 3.9574,                0.97411,             0.00018193,             0.00018193,             0.00018193
                      5,                 1.7653,                 2.2389,                0.98158,                0.02257,                0.69006,                0.15245,                0.06932,                 1.4642,                 3.5228,                 0.9813,             0.00022809,             0.00022809,             0.00022809
                      6,                 1.6784,                 1.7736,                0.99143,                0.91047,                0.10526,                0.32909,                0.14858,                 1.7095,                 2.8773,                 1.0633,             0.00027327,             0.00027327,             0.00027327
                      7,                 1.5609,                 1.5297,                0.97274,                 0.0223,                0.72222,                 0.2673,                 0.1503,                 1.3158,                 2.7624,                0.94962,             0.00031745,             0.00031745,             0.00031745
                      8,                 1.5594,                 1.4608,                0.99658,                0.02259,                0.70998,                0.07486,                0.03519,                 1.6508,                 2.8867,                 1.0701,             0.00036065,             0.00036065,             0.00036065
                      9,                  1.587,                 1.3972,                0.97735,                0.02304,                0.71875,                0.12031,                0.06319,                 1.4931,                 2.8953,                0.96225,             0.00040285,             0.00040285,             0.00040285
                     10,                  1.516,                 1.3228,                0.95135,                 0.0246,                0.71875,                0.16239,                0.09042,                 1.3241,                  3.093,                0.94635,             0.00044406,             0.00044406,             0.00044406
                     11,                 1.4778,                 1.2509,                0.94789,                0.02421,                0.67873,                0.30059,                0.19634,                  1.361,                 2.7732,                0.95873,             0.00048429,             0.00048429,             0.00048429
                     12,                 1.4106,                 1.2291,                0.93677,                0.02395,                0.70998,                0.12713,                 0.0669,                 1.4763,                 3.3624,                0.95737,             0.00052352,             0.00052352,             0.00052352
                     13,                 1.3817,                 1.1373,                0.92657,                0.61198,                0.23872,                0.40564,                0.27896,                 1.2176,                 2.5966,                0.91411,             0.00056176,             0.00056176,             0.00056176
                     14,                 1.3654,                  1.098,                0.92012,                0.70856,                0.18378,                 0.4321,                0.28257,                 1.2335,                 2.4252,                0.92381,             0.00059902,             0.00059902,             0.00059902
                     15,                 1.3833,                 1.1248,                0.93499,                0.96393,                0.28317,                0.56258,                0.33227,                 1.3123,                 2.4089,                0.93218,             0.00063528,             0.00063528,             0.00063528
                     16,                 1.3125,                 1.0418,                 0.9186,                0.92786,                0.17216,                0.56604,                0.35628,                 1.2215,                 2.4676,                0.91206,             0.00067056,             0.00067056,             0.00067056
                     17,                  1.291,                0.98174,                0.91378,                0.95065,                0.24442,                 0.5463,                0.36578,                 1.1753,                 2.3637,                0.91307,             0.00070484,             0.00070484,             0.00070484
                     18,                 1.2679,                0.94025,                0.93378,                0.92958,                0.20701,                0.59931,                0.39466,                 1.1715,                  2.148,                0.90849,             0.00073813,             0.00073813,             0.00073813
                     19,                 1.2699,                0.92971,                0.89901,                 0.9319,                0.52254,                0.69045,                0.44589,                 1.2015,                 2.1604,                0.90811,             0.00077044,             0.00077044,             0.00077044
                     20,                 1.2869,                0.90422,                 0.9149,                0.94746,                0.42852,                0.71203,                0.47102,                 1.2813,                 2.0735,                0.92554,             0.00080175,             0.00080175,             0.00080175
                     21,                 1.3084,                0.85958,                0.91166,                0.96837,                0.45088,                0.69073,                0.49211,                 1.1387,                  2.002,                0.92003,             0.00083208,             0.00083208,             0.00083208
                     22,                 1.2612,                0.83925,                0.91842,                0.96383,                0.39815,                0.67475,                0.46462,                 1.2243,                 1.9564,                0.93048,             0.00086141,             0.00086141,             0.00086141
                     23,                 1.2402,                0.83698,                0.90247,                0.96606,                0.31707,                0.68429,                0.40927,                 1.3468,                 2.1127,                0.94603,             0.00088975,             0.00088975,             0.00088975
                     24,                 1.2386,                0.83229,                0.90707,                0.95606,                0.34593,                0.72272,                0.47111,                 1.2228,                 1.9471,                 0.9281,             0.00091711,             0.00091711,             0.00091711
                     25,                 1.2133,                0.79985,                0.90521,                 0.9618,                0.45806,                0.72456,                0.47184,                 1.3417,                 1.8494,                 0.9494,             0.00094347,             0.00094347,             0.00094347
                     26,                 1.2214,                0.79308,                0.88932,                0.96858,                0.48839,                0.69378,                0.50146,                 1.1377,                 1.8062,                0.92437,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.2142,                0.79594,                0.90931,                0.96805,                0.50918,                0.69425,                0.44239,                 1.4503,                 1.8532,                0.96152,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.2909,                0.78105,                0.90575,                0.97249,                0.55373,                0.69639,                0.45184,                 1.2442,                 1.7402,                0.93678,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.2716,                0.79168,                0.89925,                0.96936,                0.58937,                0.79977,                0.55329,                 1.2193,                  1.491,                0.92509,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.2407,                0.78095,                0.90577,                0.95761,                0.64294,                0.85268,                0.52233,                 1.2687,                 1.2313,                0.93313,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.3064,                 0.7468,                0.89883,                0.93594,                0.66732,                0.90938,                0.58745,                 1.2007,                 1.0493,                0.92721,             0.00087875,             0.00087875,             0.00087875
                     32,                  1.222,                0.75282,                0.89018,                0.90143,                 0.7007,                0.96829,                0.57074,                 1.2419,                0.97263,                0.93507,             0.00086637,             0.00086637,             0.00086637
